osmid,cause,year,earthquake,war,fire,other_natural,other
67517840,destroyed,760,FALSE,FALSE,FALSE,FALSE,TRUE
25022217,fire,1106,FALSE,FALSE,TRUE,FALSE,FALSE
66636479,destroyed,1368,FALSE,FALSE,FALSE,FALSE,TRUE
68665416,destroyed,1480,FALSE,FALSE,FALSE,FALSE,TRUE
64181197,fire,1248,FALSE,FALSE,TRUE,FALSE,FALSE
41434954,fire,1137,FALSE,FALSE,TRUE,FALSE,FALSE
61848313,partially destroyed 100-y war,1421,FALSE,TRUE,FALSE,FALSE,FALSE
82048485,fire by war,1195,FALSE,TRUE,FALSE,FALSE,FALSE
82048362,vikings,950,FALSE,TRUE,FALSE,FALSE,FALSE
108213330,damaged in:,1204,FALSE,FALSE,FALSE,FALSE,TRUE
108213426,damaged in:,1204,FALSE,FALSE,FALSE,FALSE,TRUE
135938363,vikings,841,FALSE,TRUE,FALSE,FALSE,FALSE
85354582,damaged in:,1477,FALSE,FALSE,FALSE,FALSE,TRUE
71762834,war in brittany,1342,FALSE,TRUE,FALSE,FALSE,FALSE
116575824,collapsed largely,1300,FALSE,FALSE,FALSE,FALSE,TRUE
48923696,damaged,1298,FALSE,FALSE,FALSE,FALSE,TRUE
238739000,100-y war,1356,FALSE,TRUE,FALSE,FALSE,FALSE
119815440,fire,1419,FALSE,FALSE,TRUE,FALSE,FALSE
63719981,partly damaged by fire,1314,FALSE,FALSE,TRUE,FALSE,FALSE
146670643,fire,1112,FALSE,FALSE,TRUE,FALSE,FALSE
67776442,100-y war,1429,FALSE,TRUE,FALSE,FALSE,FALSE
67770679,lightening,1383,FALSE,FALSE,FALSE,TRUE,FALSE
25055228,fire,1134,FALSE,FALSE,TRUE,FALSE,FALSE
143572151,partially damaged,866,FALSE,FALSE,FALSE,FALSE,TRUE
91980198,partially damaged,1473,FALSE,FALSE,FALSE,FALSE,TRUE
64484265,100-y war,1450,FALSE,TRUE,FALSE,FALSE,FALSE
60801683,damaged by saracens,800,FALSE,TRUE,FALSE,FALSE,FALSE
52405010,fire,960,FALSE,FALSE,TRUE,FALSE,FALSE
70047654,damaged by saracens,838,FALSE,TRUE,FALSE,FALSE,FALSE
151964380,vikings,869,FALSE,TRUE,FALSE,FALSE,FALSE
66499545,fire,1100,FALSE,FALSE,TRUE,FALSE,FALSE
79547368,damaged in:,1376,FALSE,FALSE,FALSE,FALSE,TRUE
28379422,fire,919,FALSE,FALSE,TRUE,FALSE,FALSE
139906286,ravaged by saracenss,890,FALSE,TRUE,FALSE,FALSE,FALSE
39704141,vikings,859,FALSE,TRUE,FALSE,FALSE,FALSE
63850927,vikings,848,FALSE,TRUE,FALSE,FALSE,FALSE
50323125,vikings,877,FALSE,TRUE,FALSE,FALSE,FALSE
113691821,razed,1358,FALSE,TRUE,FALSE,FALSE,FALSE
113692150,razed,1358,FALSE,TRUE,FALSE,FALSE,FALSE
113704283,razed,1358,FALSE,TRUE,FALSE,FALSE,FALSE
91407973,crusade albigenzen,1290,FALSE,TRUE,FALSE,FALSE,FALSE
62287173,fire,861,FALSE,FALSE,TRUE,FALSE,FALSE
53770908,vikings,886,FALSE,TRUE,FALSE,FALSE,FALSE
63200612,vikings,885,FALSE,TRUE,FALSE,FALSE,FALSE
19740659,vikings,886,FALSE,TRUE,FALSE,FALSE,FALSE
51343833,vikings,845,FALSE,TRUE,FALSE,FALSE,FALSE
40630875,fire,1018,FALSE,FALSE,TRUE,FALSE,FALSE
38676352,vikings,865,FALSE,TRUE,FALSE,FALSE,FALSE
40648031,saracens,732,FALSE,TRUE,FALSE,FALSE,FALSE
252586198,fire,1315,FALSE,FALSE,TRUE,FALSE,FALSE
113130090,partially destroyed by fire,1157,FALSE,FALSE,TRUE,FALSE,FALSE
92294792,fire,1210,FALSE,FALSE,TRUE,FALSE,FALSE
30447530,collapsed largely,1490,FALSE,FALSE,FALSE,FALSE,TRUE
45393044,saracens,725,FALSE,TRUE,FALSE,FALSE,FALSE
61082023,vikings,860,FALSE,TRUE,FALSE,FALSE,FALSE
63420359,vikings,841,FALSE,TRUE,FALSE,FALSE,FALSE
64181197_236,fire,1248,FALSE,FALSE,TRUE,FALSE,FALSE
136636672,fire,990,FALSE,FALSE,TRUE,FALSE,FALSE
51845053,collapse of façade,1268,FALSE,FALSE,FALSE,FALSE,TRUE
