osmid,city,osmname,surface,osmwikipedia,osmlink,category,mendicants,lat,lon,,,,,,,,,,,,,,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,m3,,,cathedral,,,,,,,,,,,,,,,,,,
162259412,Aosta,Cattedrale di Santa Maria Assunta,guestimate,,,cathedral,,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
517923149,Aquila (L'Aquila),Santa Giusta,1146.48288,https://it.wikipedia.org/wiki/Chiesa_di_Santa_Giusta,http://www.openstreetmap.org/way/517923149,parish,,42.34701685,13.39959415,x,x,x,x,x,x,x,x,x,x,x,x,x,,
517923149,Aquila (L'Aquila),Santa Giusta,year,,,parish,,,,1200,1250,1315,1325,1349,1420,,,,,,,,,
517923149,Aquila (L'Aquila),Santa Giusta,surface,,,parish,,,,0,1100,,200,,200,,,,,,,,,
517923149,Aquila (L'Aquila),Santa Giusta,height,,,parish,,,,18,18,18,18,18,18,,,,,,,,,
517923149,Aquila (L'Aquila),Santa Giusta,m3,,,parish,,,,,,,,,,,,,,,,,,
517923149,Aquila (L'Aquila),Santa Giusta,guestimate,,,parish,,,,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,1363.095407,it.wikipedia.org/wiki/Chiesa_di_Santa_Maria_Paganica,http://www.openstreetmap.org/way/496425256,parish,,42.35245901,13.39963923,x,x,x,x,x,x,x,x,x,x,x,x,x,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,year,,,parish,,,,1308,1320,,,,,,,,,,,,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,surface,,,parish,,,,0,1400,,,,,,,,,,,,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,height,,,parish,,,,20,20,,,,,,,,,,,,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,m3,,,parish,,,,,,,,,,,,,,,,,,
496425256,Aquila (L'Aquila),Chiesa di Santa Maria Paganica,guestimate,,,parish,,,,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
510802785,Aquila (L'Aquila),San Silvestro,1682.681579,https://it.wikipedia.org/wiki/Chiesa_di_San_Silvestro_(L%27Aquila),http://www.openstreetmap.org/way/510802785,parish,,42.35482952,13.39693959,x,x,x,x,x,x,x,x,x,x,x,x,x,,
510802785,Aquila (L'Aquila),San Silvestro,year,,,parish,,,,1265,1285,1315,1325,1349,1465,,,,,,,,,
510802785,Aquila (L'Aquila),San Silvestro,surface,,,parish,,,,0,1300,,100,0,1700,,,,,,,,,
510802785,Aquila (L'Aquila),San Silvestro,height,,,parish,,,,20,20,20,20,22,22,,,,,,,,,
510802785,Aquila (L'Aquila),San Silvestro,m3,,,parish,,,,,,,,,,,,,,,,,,
510802785,Aquila (L'Aquila),San Silvestro,guestimate,,,parish,,,,1,1,1,1,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
503078651,Aquila (L'Aquila),Duomo San Massimo,1919.119559,it.wikipedia.org/wiki/Duomo_dell'Aquila,http://www.openstreetmap.org/way/503078651,cathedral,,42.34921938,13.39697443,x,x,x,x,x,x,x,x,x,x,x,x,x,,
503078651,Aquila (L'Aquila),Duomo San Massimo,year,,,cathedral,,,,1259,1310,1315,1325,1461,1480,,,,,,,,,
503078651,Aquila (L'Aquila),Duomo San Massimo,surface,,,cathedral,,,,0,1600,,200,,200,,,,,,,,,
