city,UN.country.code,country,transport.location,X__1,X700y,X800y,X900y,X1000y,X1100y,X1200y,X1300y,X1400y,X1500y,X1550y,X1600y,X1650y,X1700y,X1750y,X1800y,X1850y,X1900y,X1950y,X2000y,latitude,longtitude,elevation,loc,lat,lon,loc_frmtd,distance
Glauchau,276,Germany,land north sea,,0,0,0,0,0,1,1,1,1,1,2,2,3,5,4,10,24,35,27,50.82,12.53,266,Glauchau,50.8187761,12.5451713,"Glauchau, Germany",1.07775124355179
Goeppingen,276,Germany,river north sea,,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,7,19,39,57,48.7,9.67,323,Goeppingen,48.7054382,9.6512491,"Göppingen, Germany",1.50685950581494
Grimma,276,Germany,river north sea,,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,5,9,17,30,51.23,12.72,128,Grimma,51.2364426,12.7202313,"04668 Grimma, Germany",0.716945302449413
Kaiserslautern,276,Germany,river north sea,,0,0,1,1,1,1,1,1,2,2,2,1,1,2,3,10,48,63,99,49.43,7.77,251,Kaiserslautern,49.4400657,7.7491265,"Kaiserslautern, Germany",1.88294248033011
Konstanz (Drusomagus),276,Germany,river north sea,,1,1,1,1,2,2,2,1,1,2,2,3,3,4,4,7,21,43,78,47.67,9.17,405,Konstanz (Drusomagus),47.6779496,9.1732384,"Konstanz, Germany",0.916720488975461
Lippstadt,276,Germany,river north sea,,0,0,0,0,0,1,2,1,3,3,2,2,2,2,3,5,13,31,67,51.67,8.32,79,Lippstadt,51.6712278,8.3406481,"Lippstadt, Germany",1.43496774295797
Mittweida,276,Germany,river north sea,,0,0,0,0,0,1,2,1,3,3,3,4,4,4,3,6,13,20,17,50.98,12.98,280,Mittweida,50.9853149,12.9740557,"Mittweida, Germany",0.723778867862752
Neuwied,276,Germany,river north sea,,0,1,1,1,2,2,2,1,1,1,2,2,3,3,4,9,18,34,64,50.42,7.45,60,Neuwied,50.4361866,7.4664546,"Neuwied, Germany",2.14688272042132
Oldenburg,276,Germany,river north sea,,0,0,0,1,1,2,3,2,2,2,2,3,3,3,6,11,27,123,155,53.15,8.22,5,Oldenburg,53.1434501,8.2145521,"Oldenburg, Germany",0.814997451293603
"Oldenburg (Oldenburg in Holstein, Brandehuse)",276,Germany,baltic,,1,1,2,2,2,1,1,1,1,2,2,2,2,3,3,3,4,5,10,54.28,10.87,8,"Oldenburg (Oldenburg in Holstein, Brandehuse)",54.2957397,10.8919582,"Oldenburg-Land, 23758 Oldenburg in Holstein, Germany",2.26148717882514
Pirna,276,Germany,river north sea,,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,6,17,39,42,50.97,13.97,118,Pirna,50.9625175,13.9419168,"Pirna, Germany",2.14122700059642
Radevormwald,276,Germany,land north sea,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,9,10,17,26,51.2,7.35,421,Radevormwald,51.2015995,7.3590901,"42477 Radevormwald, Germany",0.65979365046151
Reichenbach,276,Germany,land north sea,,0,0,0,0,1,1,1,1,1,1,1,2,3,5,4,9,25,32,23,50.62,12.3,380,Reichenbach im Vogtland,50.6175423,12.2990016,"Reichenbach im Vogtland, Germany",0.282382266478216
Rheydt,276,Germany,land north sea,,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,8,34,78,--,51.3,6.45,70,Rheydt,51.1686686,6.4469619,"Rheydt, Mönchengladbach, Germany",14.612651276104
Schleswig (Hedeby),276,Germany,baltic,,0,2,2,2,2,2,3,2,2,3,3,4,4,5,8,12,15,19,24,54.52,9.55,1,Schleswig (Hedeby),54.4970832,9.5694405,"Am Haddebyer Noor 5, 24866 Busdorf, Germany",2.84485742097933
Velbert,276,Germany,land north sea,,0,0,0,1,1,2,2,1,1,2,2,2,2,3,4,6,17,41,90,51.37,7.03,230,Velbert,51.3370703,7.0426775,"Velbert, Germany",3.76856897803777
Verden,276,Germany,river north sea,,0,1,1,1,2,2,2,1,2,3,4,4,3,3,3,5,9,15,27,52.92,9.22,20,Verden,52.9347982,9.2329647,"27283 Verden, Germany",1.86338492903868
Weissenfels,276,Germany,river north sea,,0,0,1,1,1,1,2,1,1,2,2,3,4,4,4,9,28,48,32,51.2,11.97,100,Weissenfels,51.1972771,11.9689146,"Weißenfels, Germany",0.312286525546269
Wolfsburg,276,Germany,land north sea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,122,52.42,10.78,63,Wolfsburg,52.4226503,10.7865461,"Wolfsburg, Germany",0.534136259776466
Wuelfrath,276,Germany,land north sea,,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,5,8,14,23,51.28,7.03,262,Wuelfrath,51.280284,7.0349609,"Wülfrath, Germany",0.347580501682648
Acqui Terme,380,Italy,river mediterranean,,1,1,1,1,2,2,2,1,2,2,3,3,2,3,4,7,14,16,19,44.68,8.47,156,Acqui Terme,44.6763846,8.4670285,"15011 Acqui Terme, Province of Alessandria, Italy",0.465751060783682
Alba,380,Italy,river mediterranean,,1,1,1,1,2,2,2,1,2,2,3,3,2,3,4,5,14,16,30,44.7,8.03,172,Alba,44.7009153,8.0356911,"12051 Alba, Province of Cuneo, Italy",0.462382630246817
Biella,380,Italy,land mediterranean,,1,1,1,1,2,2,2,1,2,2,3,3,2,3,4,8,26,43,46,45.57,8.05,420,Biella,45.5628842,8.0583397,"13900 Biella, Province of Biella, Italy",1.02437651862446
Caraglio,380,Italy,land mediterranean,,0,0,1,1,1,2,2,1,2,2,3,3,3,4,4,6,6,6,6,44.42,7.43,638,Caraglio,44.429685,7.4489531,"12023 Caraglio, Province of Cuneo, Italy",1.85367363050766
Carrara,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,2,3,3,3,3,4,5,6,42,62,65,44.07,7.72,100,Carrara,44.0793245,10.097677,"54033 Carrara, Province of Massa and Carrara, Italy",190.46108206536
Cassano All'Ionio,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,2,2,3,3,3,4,4,4,9,14,18,39.78,16.33,250,Cassano All'Ionio,39.784712,16.3210165,"87011 Cassano all'Ionio, Province of Cosenza, Italy",0.930561878682672
Cavour,380,Italy,land mediterranean,,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,6,7,6,5,40.78,7.37,300,"Cavour, Piedmont",44.7866591,7.3735817,"10061 Cavour, Metropolitan City of Turin, Italy",445.098387422192
Chieri,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,3,4,4,5,7,8,10,12,14,15,33,45.02,7.82,283,Chieri,45.008885,7.8275551,"10023 Chieri, Metropolitan City of Turin, Italy",1.37131366554815
Eboli,380,Italy,land mediterranean,,1,1,2,2,2,2,3,2,2,2,3,3,3,4,5,6,10,20,36,40.62,15.05,145,Eboli,40.6179234,15.0564332,"84025 Eboli, Province of Salerno, Italy",0.591191678445925
